# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FIS1	YIL065C	YIL065C	protein_coding	0	0	0	39	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	32
FIT1	YDR534C	YDR534C	protein_coding	0	10	8	91	0	0	0	0	51	0	0	0	8	0	0	0	0	0	0	0	0	10	40
FIT2	YOR382W	YOR382W	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FIT3	YOR383C	YOR383C	protein_coding	0	0	1	10	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	6
FKH1	YIL131C	YIL131C	protein_coding	0	10	4	41	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	10	24
FKH2	YNL068C	YNL068C	protein_coding	0	1	2	42	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	40
FKS1	YLR342W	YLR342W	protein_coding	0	44	11	149	0	0	0	0	82	0	0	0	11	0	0	0	0	0	0	0	0	44	67
FKS3	YMR306W	YMR306W	protein_coding	0	14	3	35	0	0	0	0	20	0	0	0	3	0	0	0	0	0	0	0	0	14	15
FLC1	YPL221W	YPL221W	protein_coding	0	1	1	17	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	15
FLC2	YAL053W	YAL053W	protein_coding	0	14	1	81	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	0	14	41
FLC3	YGL139W	YGL139W	protein_coding	0	0	1	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2
FLD1	YLR404W	YLR404W	protein_coding	0	0	0	37	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	31
FLO1	YAR050W	YAR050W	protein_coding	0	4	6	23	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	4	22
FLO10	YKR102W	YKR102W	protein_coding	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10
FLO11	YIR019C	YIR019C	protein_coding	0	18	17	133	0	0	0	0	50	0	0	0	17	0	0	0	0	0	0	0	0	18	83
FLO5	YHR211W	YHR211W	protein_coding	0	6	3	6	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	6	3
FLO8	YER109C	YER109C	protein_coding	0	0	0	15	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FLO9	YAL063C	YAL063C	protein_coding	0	5	2	61	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	5	60
FLR1	YBR008C	YBR008C	protein_coding	0	3	4	71	0	0	0	0	37	0	0	0	4	0	0	0	0	0	0	0	0	3	34
FLX1	YIL134W	YIL134W	protein_coding	0	4	1	54	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	0	4	18
FMC1	YIL098C	YIL098C	protein_coding	0	1	0	41	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	20
FMN1	YDR236C	YDR236C	protein_coding	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8
FMO1	YHR176W	YHR176W	protein_coding	0	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7
FMP10	YER182W	YER182W	protein_coding	0	4	2	95	0	0	0	0	49	0	0	0	2	0	0	0	0	0	0	0	0	4	46
FMP16	YDR070C	YDR070C	protein_coding	0	0	0	48	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	30
FMP23	YBR047W	YBR047W	protein_coding	0	2	0	72	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2	40
FMP25	YLR077W	YLR077W	protein_coding	0	6	2	67	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	6	30
FMP27	YLR454W	YLR454W	protein_coding	0	10	8	83	0	0	0	0	53	0	0	0	8	0	0	0	0	0	0	0	0	10	30
FMP30	YPL103C	YPL103C	protein_coding	0	2	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	6
FMP32	YFL046W	YFL046W	protein_coding	0	6	1	81	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	6	48
FMP33	YJL161W	YJL161W	protein_coding	0	2	0	79	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	2	44
FMP40	YPL222W	YPL222W	protein_coding	0	0	0	36	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	25
FMP41	YNL168C	YNL168C	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
FMP45	YDL222C	YDL222C	protein_coding	0	0	0	36	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	33
FMP46	YKR049C	YKR049C	protein_coding	0	0	0	54	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	34
FMP48	YGR052W	YGR052W	protein_coding	0	1	0	17	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	9
FMP52	YER004W	YER004W	protein_coding	0	1	1	8	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	2
FMS1	YMR020W	YMR020W	protein_coding	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11
FMT1	YBL013W	YBL013W	protein_coding	0	4	3	65	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	4	38
FOB1	YDR110W	YDR110W	protein_coding	0	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FOL1	YNL256W	YNL256W	protein_coding	0	2	0	11	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	2
FOL2	YGR267C	YGR267C	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FOL3	YMR113W	YMR113W	protein_coding	0	3	1	79	0	0	0	0	36	0	0	0	1	0	0	0	0	0	0	0	0	3	43
FOX2	YKR009C	YKR009C	protein_coding	0	1	3	8	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	6
FPK1	YNR047W	YNR047W	protein_coding	0	4	4	34	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	4	28
FPR1	YNL135C	YNL135C	protein_coding	0	1	0	29	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	17
FPR2	YDR519W	YDR519W	protein_coding	0	0	0	30	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	11
FPR3	YML074C	YML074C	protein_coding	0	2	2	64	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	2	43
FPR4	YLR449W	YLR449W	protein_coding	0	2	1	62	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	2	35
FPS1	YLL043W	YLL043W	protein_coding	0	1	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2
FRA1	YLL029W	YLL029W	protein_coding	0	5	4	37	0	0	0	0	20	0	0	0	4	0	0	0	0	0	0	0	0	5	17
FRA2	YGL220W	YGL220W	protein_coding	0	0	0	50	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	26
FRD1	YEL047C	YEL047C	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FRE1	YLR214W	YLR214W	protein_coding	0	2	2	25	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	2	7
FRE2	YKL220C	YKL220C	protein_coding	0	6	2	92	0	0	0	0	34	0	0	0	2	0	0	0	0	0	0	0	0	6	58
FRE3	YOR381W	YOR381W	protein_coding	0	1	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2
FRE4	YNR060W	YNR060W	protein_coding	0	0	1	7	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3
FRE5	YOR384W	YOR384W	protein_coding	0	2	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	5
FRE6	YLL051C	YLL051C	protein_coding	0	0	1	6	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FRE7	YOL152W	YOL152W	protein_coding	0	5	8	106	0	0	0	0	47	0	0	0	8	0	0	0	0	0	0	0	0	5	59
FRE8	YLR047C	YLR047C	protein_coding	0	5	3	72	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	5	32
FRK1	YPL141C	YPL141C	protein_coding	0	1	1	40	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	1	5
FRM2	YCL026C-A	YCL026C-A	protein_coding	0	4	1	25	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	4	10
FRQ1	YDR373W	YDR373W	protein_coding	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9
FRS1	YLR060W	YLR060W	protein_coding	0	4	2	61	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	4	35
FRS2	YFL022C	YFL022C	protein_coding	0	5	1	62	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	5	36
FRT1	YOR324C	YOR324C	protein_coding	0	0	1	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	6
FRT2	YAL028W	YAL028W	protein_coding	0	1	2	27	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	26
FSF1	YOR271C	YOR271C	protein_coding	0	1	0	57	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	1	29
FSH1	YHR049W	YHR049W	protein_coding	0	0	0	28	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	11
FSH2	YMR222C	YMR222C	protein_coding	0	0	1	33	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	25
FSH3	YOR280C	YOR280C	protein_coding	0	3	1	71	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	3	42
FTH1	YBR207W	YBR207W	protein_coding	0	8	1	59	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	8	34
FTR1	YER145C	YER145C	protein_coding	0	3	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	8
FUB1	YCR076C	YCR076C	protein_coding	0	0	4	61	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	0	35
FUI1	YBL042C	YBL042C	protein_coding	0	6	5	66	0	0	0	0	30	0	0	0	5	0	0	0	0	0	0	0	0	6	36
FUM1	YPL262W	YPL262W	protein_coding	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
FUN12	YAL035W	YAL035W	protein_coding	0	0	3	15	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	7
FUN14	YAL008W	YAL008W	protein_coding	0	4	2	58	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	4	38
FUN19	YAL034C	YAL034C	protein_coding	0	2	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	8
FUN26	YAL022C	YAL022C	protein_coding	0	1	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	10
FUN30	YAL019W	YAL019W	protein_coding	0	0	1	18	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	10
FUR1	YHR128W	YHR128W	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
FUR4	YBR021W	YBR021W	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
FUS1	YCL027W	YCL027W	protein_coding	0	1	0	30	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	8
FUS2	YMR232W	YMR232W	protein_coding	0	1	1	8	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	2
FUS3	YBL016W	YBL016W	protein_coding	0	3	1	65	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	3	34
FYV1	YDR024W	YDR024W	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FYV10	YIL097W	YIL097W	protein_coding	0	4	1	35	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	4	21
FYV12	YOR183W	YOR183W	protein_coding	0	1	3	63	0	0	0	0	34	0	0	0	3	0	0	0	0	0	0	0	0	1	29
FYV4	YHR059W	YHR059W	protein_coding	0	2	2	31	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	2	13
FYV5	YCL058C	YCL058C	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FYV6	YNL133C	YNL133C	protein_coding	0	1	1	26	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	1	10
FYV7	YLR068W	YLR068W	protein_coding	0	0	0	45	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	20
FYV8	YGR196C	YGR196C	protein_coding	0	10	4	52	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	0	10	22
FZF1	YGL254W	YGL254W	protein_coding	0	4	2	94	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0	0	0	4	76
FZO1	YBR179C	YBR179C	protein_coding	0	10	2	75	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	0	10	42
GAA1	YLR088W	YLR088W	protein_coding	0	7	2	51	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	7	25
GAB1	YLR459W	YLR459W	protein_coding	0	4	1	63	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	4	53
GAC1	YOR178C	YOR178C	protein_coding	0	2	2	14	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	10
GAD1	YMR250W	YMR250W	protein_coding	0	0	0	18	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	7
GAL1	YBR020W	YBR020W	protein_coding	0	0	1	9	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	5
GAL10	YBR019C	YBR019C	protein_coding	0	2	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3
GAL11	YOL051W	YOL051W	protein_coding	0	6	2	23	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	6	14
GAL2	YLR081W	YLR081W	protein_coding	0	7	2	61	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	7	34
GAL3	YDR009W	YDR009W	protein_coding	0	3	1	36	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	3	10
GAL4	YPL248C	YPL248C	protein_coding	0	3	2	26	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	3	7
GAL7	YBR018C	YBR018C	protein_coding	0	0	2	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4
GAL80	YML051W	YML051W	protein_coding	0	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24
GAL83	YER027C	YER027C	protein_coding	0	2	3	75	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	0	2	45
GAP1	YKR039W	YKR039W	protein_coding	0	8	1	60	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	8	31
GAR1	YHR089C	YHR089C	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4
GAS1	YMR307W	YMR307W	protein_coding	0	5	3	33	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	5	16
GAS2	YLR343W	YLR343W	protein_coding	0	15	11	118	0	0	0	0	68	0	0	0	11	0	0	0	0	0	0	0	0	15	50
GAS3	YMR215W	YMR215W	protein_coding	0	4	3	29	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	4	5
GAS4	YOL132W	YOL132W	protein_coding	0	4	1	63	0	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	0	4	36
GAS5	YOL030W	YOL030W	protein_coding	0	0	1	30	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	10
GAT1	YFL021W	YFL021W	protein_coding	0	6	6	59	0	0	0	0	38	0	0	0	6	0	0	0	0	0	0	0	0	6	21
GAT2	YMR136W	YMR136W	protein_coding	0	0	3	12	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	5
GAT3	YLR013W	YLR013W	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GAT4	YIR013C	YIR013C	protein_coding	0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7
GBP2	YCL011C	YCL011C	protein_coding	0	0	1	34	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	6
GCD1	YOR260W	YOR260W	protein_coding	0	0	0	23	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3
GCD10	YNL062C	YNL062C	protein_coding	0	1	1	26	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	12
GCD11	YER025W	YER025W	protein_coding	0	3	0	80	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	30
GCD14	YJL125C	YJL125C	protein_coding	0	3	3	30	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	3	19
GCD2	YGR083C	YGR083C	protein_coding	0	1	0	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	10
GCD6	YDR211W	YDR211W	protein_coding	0	0	1	4	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GCD7	YLR291C	YLR291C	protein_coding	0	9	1	86	0	0	0	0	53	0	0	0	1	0	0	0	0	0	0	0	0	9	33
GCG1	YER163C	YER163C	protein_coding	0	6	0	62	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	6	39
GCN1	YGL195W	YGL195W	protein_coding	0	62	19	110	0	0	0	0	61	0	0	0	19	0	0	0	0	0	0	0	0	62	49
GCN2	YDR283C	YDR283C	protein_coding	0	1	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0
GCN20	YFR009W	YFR009W	protein_coding	0	6	1	73	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	6	53
GCN3	YKR026C	YKR026C	protein_coding	0	1	0	20	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	8
GCN4	YEL009C	YEL009C	protein_coding	0	0	1	13	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	10
GCN5	YGR252W	YGR252W	protein_coding	0	4	0	68	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	51
GCR1	YPL075W	YPL075W	protein_coding	0	1	1	10	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	4
GCR2	YNL199C	YNL199C	protein_coding	0	3	4	44	0	0	0	0	26	0	0	0	4	0	0	0	0	0	0	0	0	3	18
GCS1	YDL226C	YDL226C	protein_coding	0	2	2	14	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	2	5
GCV1	YDR019C	YDR019C	protein_coding	0	0	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8
GCV2	YMR189W	YMR189W	protein_coding	0	6	2	24	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	6	11
GCV3	YAL044C	YAL044C	protein_coding	0	1	0	72	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	1	27
GCY1	YOR120W	YOR120W	protein_coding	0	1	1	17	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	1	5
GDA1	YEL042W	YEL042W	protein_coding	0	2	0	55	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	2	14
GDB1	YPR184W	YPR184W	protein_coding	0	1	3	13	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	1	3
GDE1	YPL110C	YPL110C	protein_coding	0	2	2	26	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	2	9
GDH1	YOR375C	YOR375C	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4
GDH2	YDL215C	YDL215C	protein_coding	0	11	2	66	0	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	11	34
GDH3	YAL062W	YAL062W	protein_coding	0	12	0	116	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	12	54
GDI1	YER136W	YER136W	protein_coding	0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12
GDS1	YOR355W	YOR355W	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5
GDT1	YBR187W	YBR187W	protein_coding	0	2	4	71	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	0	0	2	33
GEA1	YJR031C	YJR031C	protein_coding	0	13	4	40	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	13	23
GEA2	YEL022W	YEL022W	protein_coding	0	1	5	14	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	1	5
GEF1	YJR040W	YJR040W	protein_coding	0	6	5	67	0	0	0	0	31	0	0	0	5	0	0	0	0	0	0	0	0	6	36
GEM1	YAL048C	YAL048C	protein_coding	0	22	1	74	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	22	39
GEP3	YOR205C	YOR205C	protein_coding	0	1	2	13	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	1	4
GEP4	YHR100C	YHR100C	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5
GEP5	YLR091W	YLR091W	protein_coding	0	1	1	54	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	1	28
GEP7	YGL057C	YGL057C	protein_coding	0	2	1	22	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	2	14
GET1	YGL020C	YGL020C	protein_coding	0	3	0	24	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	18
GET2	YER083C	YER083C	protein_coding	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
GET3	YDL100C	YDL100C	protein_coding	0	5	0	62	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	5	28
GET4	YOR164C	YOR164C	protein_coding	0	0	0	25	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	6
GEX1	YCL073C	YCL073C	protein_coding	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GEX2	YKR106W	YKR106W	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFA1	YKL104C	YKL104C	protein_coding	0	8	0	82	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	8	42
GFD1	YMR255W	YMR255W	protein_coding	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8
GFD2	YCL036W	YCL036W	protein_coding	0	5	1	14	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	5	9
GGA1	YDR358W	YDR358W	protein_coding	0	1	1	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	12
GGA2	YHR108W	YHR108W	protein_coding	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3
GGC1	YDL198C	YDL198C	protein_coding	0	3	0	75	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	3	34
GIC1	YHR061C	YHR061C	protein_coding	0	3	3	43	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	3	25
GIC2	YDR309C	YDR309C	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GID7	YCL039W	YCL039W	protein_coding	0	6	2	18	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	6	16
GID8	YMR135C	YMR135C	protein_coding	0	0	1	13	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	9
GIM3	YNL153C	YNL153C	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
GIM4	YEL003W	YEL003W	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GIM5	YML094W	YML094W	protein_coding	0	0	1	80	0	0	0	0	32	0	0	1	1	0	0	0	0	0	0	0	0	0	47
GIN4	YDR507C	YDR507C	protein_coding	0	23	5	123	0	0	0	0	63	0	0	0	5	0	0	0	0	0	0	0	0	23	60
GIP1	YBR045C	YBR045C	protein_coding	0	8	5	79	0	0	0	0	42	0	0	0	5	0	0	0	0	0	0	0	0	8	37
GIP2	YER054C	YER054C	protein_coding	0	2	6	39	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	2	22
GIP3	YPL137C	YPL137C	protein_coding	0	0	1	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	6
GIP4	YAL031C	YAL031C	protein_coding	0	0	2	34	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	26
GIR2	YDR152W	YDR152W	protein_coding	0	1	0	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	8
GIS1	YDR096W	YDR096W	protein_coding	0	1	2	4	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	1
GIS2	YNL255C	YNL255C	protein_coding	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10
GIS3	YLR094C	YLR094C	protein_coding	0	5	2	45	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	5	19
GIS4	YML006C	YML006C	protein_coding	0	4	3	66	0	0	0	0	32	0	0	0	3	0	0	0	0	0	0	0	0	4	34
GIT1	YCR098C	YCR098C	protein_coding	0	7	1	30	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	7	20
GLC3	YEL011W	YEL011W	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4
GLC7	YER133W	YER133W	protein_coding	0	0	0	45	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	35
GLC8	YMR311C	YMR311C	protein_coding	0	0	0	20	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	9
GLE1	YDL207W	YDL207W	protein_coding	0	9	3	49	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	0	9	27
GLE2	YER107C	YER107C	protein_coding	0	1	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	3
GLG1	YKR058W	YKR058W	protein_coding	0	7	7	59	0	0	0	0	25	0	0	0	7	0	0	0	0	0	0	0	0	7	34
GLG2	YJL137C	YJL137C	protein_coding	0	0	0	39	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	19
